ltp,vol_traded_today,last_traded_time,exch_feed_time,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_sell_qty,avg_trade_price,low_price,high_price,lower_ckt,upper_ckt,open_price,prev_close_price,ch,chp,time
862.6,4203866,1720762493,1720762494,394,4588,862.55,862.6,33,656149,1738607,859.33,855.3,862.65,0,0,856.7,856.7,5.9,0.6887,1720782294.465834
862.6,4205079,1720762494,1720762494,786,4141,862.35,862.6,33,651454,1733980,859.33,855.3,862.65,0,0,856.7,856.7,5.9,0.6887,1720782294.769749
862.6,4205079,1720762494,1720762495,786,4141,862.35,862.6,168,651454,1733980,859.33,855.3,862.65,0,0,856.7,856.7,5.9,0.6887,1720782295.488306
862.6,4206068,1720762495,1720762495,118,3227,862.55,862.6,270,656321,1733524,859.33,855.3,862.65,0,0,856.7,856.7,5.9,0.6887,1720782295.794648
862.6,4206068,1720762495,1720762496,118,3227,862.55,862.6,118,656321,1733524,859.33,855.3,862.65,0,0,856.7,856.7,5.9,0.6887,1720782296.466547
862.6,4206254,1720762496,1720762496,471,3074,862.55,862.6,33,657147,1728599,859.33,855.3,862.65,0,0,856.7,856.7,5.9,0.6887,1720782296.765988
862.6,4206254,1720762496,1720762497,471,3074,862.55,862.6,168,657147,1728599,859.33,855.3,862.65,0,0,856.7,856.7,5.9,0.6887,1720782297.536075
862.6,4206771,1720762497,1720762497,225,2645,862.55,862.6,33,656886,1731741,859.33,855.3,862.65,0,0,856.7,856.7,5.9,0.6887,1720782297.766415
862.6,4206771,1720762497,1720762498,225,2645,862.55,862.6,168,656886,1731741,859.33,855.3,862.65,0,0,856.7,856.7,5.9,0.6887,1720782298.466641
862.6,4207480,1720762498,1720762498,91,2185,862.5,862.6,33,656043,1732467,859.33,855.3,862.65,0,0,856.7,856.7,5.9,0.6887,1720782298.773528
862.55,4207480,1720762498,1720762499,91,2185,862.5,862.6,50,656043,1732467,859.33,855.3,862.65,0,0,856.7,856.7,5.85,0.6829,1720782299.470734
862.55,4208219,1720762499,1720762499,110,5357,862.5,862.55,33,656353,1735529,859.33,855.3,862.65,0,0,856.7,856.7,5.85,0.6829,1720782299.772563
862.6,4208219,1720762499,1720762500,110,5357,862.5,862.55,2,656353,1735529,859.33,855.3,862.65,0,0,856.7,856.7,5.9,0.6887,1720782300.471175
862.8,4228450,1720762500,1720762500,585,1481,862.75,862.8,51,658969,1696950,859.35,855.3,862.8,0,0,856.7,856.7,6.1,0.712,1720782300.97365
863.0,4228450,1720762500,1720762501,585,1481,862.75,862.8,1,658969,1696950,859.35,855.3,862.8,0,0,856.7,856.7,6.3,0.7354,1720782301.474244
862.9,4249224,1720762501,1720762501,296,224773,862.9,863.0,1,635983,1677983,859.37,855.3,863.0,0,0,856.7,856.7,6.2,0.7237,1720782301.985041
863.0,4249224,1720762501,1720762502,296,224773,862.9,863.0,4,635983,1677983,859.37,855.3,863.0,0,0,856.7,856.7,6.3,0.7354,1720782302.469215
863.0,4249843,1720762502,1720762502,1606,224233,862.95,863.0,58,655772,1693453,859.37,855.3,863.0,0,0,856.7,856.7,6.3,0.7354,1720782302.779038
862.8,4249843,1720762502,1720762503,1606,224233,862.95,863.0,10,655772,1693453,859.37,855.3,863.0,0,0,856.7,856.7,6.1,0.712,1720782303.480274
862.95,4252660,1720762503,1720762503,542,664,862.8,862.95,12,649811,1698269,859.37,855.3,863.0,0,0,856.7,856.7,6.25,0.7295,1720782303.98765
862.8,4252660,1720762503,1720762504,542,664,862.8,862.95,1,649811,1698269,859.37,855.3,863.0,0,0,856.7,856.7,6.1,0.712,1720782304.372465
863.0,4253494,1720762504,1720762504,5,223591,862.95,863.0,168,657389,1688082,859.37,855.3,863.0,0,0,856.7,856.7,6.3,0.7354,1720782305.010777
863.0,4253494,1720762504,1720762505,5,223591,862.95,863.0,127,657389,1688082,859.37,855.3,863.0,0,0,856.7,856.7,6.3,0.7354,1720782305.501074
863.0,4255812,1720762505,1720762505,284,223475,862.95,863.0,1,657420,1690224,859.37,855.3,863.0,0,0,856.7,856.7,6.3,0.7354,1720782305.989671
863.0,4255812,1720762505,1720762506,284,223475,862.95,863.0,1,657420,1690224,859.37,855.3,863.0,0,0,856.7,856.7,6.3,0.7354,1720782306.485267
862.95,4256131,1720762506,1720762506,1,223466,862.95,863.0,1,644041,1693869,859.37,855.3,863.0,0,0,856.7,856.7,6.25,0.7295,1720782306.981944
862.95,4256131,1720762506,1720762507,1,223466,862.95,863.0,1,644041,1693869,859.37,855.3,863.0,0,0,856.7,856.7,6.25,0.7295,1720782307.468519
862.95,4256505,1720762507,1720762507,57,190,862.65,862.95,34,645781,1693685,859.37,855.3,863.0,0,0,856.7,856.7,6.25,0.7295,1720782307.986731
863.0,4256505,1720762507,1720762508,57,190,862.65,862.95,1,645781,1693685,859.37,855.3,863.0,0,0,856.7,856.7,6.3,0.7354,1720782308.485102
862.9,4258142,1720762508,1720762508,313,287,862.65,862.9,33,640943,1693249,859.37,855.3,863.0,0,0,856.7,856.7,6.2,0.7237,1720782308.97964
862.6,4258142,1720762508,1720762509,313,287,862.65,862.9,56,640943,1693249,859.37,855.3,863.0,0,0,856.7,856.7,5.9,0.6887,1720782309.414136
862.6,4258814,1720762509,1720762509,19,146,862.55,862.65,93,629477,1693466,859.37,855.3,863.0,0,0,856.7,856.7,5.9,0.6887,1720782310.029337
862.6,4258814,1720762509,1720762510,19,146,862.55,862.65,33,629477,1693466,859.37,855.3,863.0,0,0,856.7,856.7,5.9,0.6887,1720782310.540433
862.5,4259112,1720762510,1720762510,24,465,862.25,862.55,58,640471,1698390,859.37,855.3,863.0,0,0,856.7,856.7,5.8,0.677,1720782310.981651
862.55,4259112,1720762510,1720762511,24,465,862.25,862.55,1,640471,1698390,859.37,855.3,863.0,0,0,856.7,856.7,5.85,0.6829,1720782311.385997
859.65,6847207,1720769027,1720769030,1,333,859.55,859.65,1,643439,1748311,859.55,855.3,863.0,0,0,856.7,856.7,2.95,0.3443,1720788830.857853
859.65,6847207,1720769027,1720769031,1,333,859.55,859.65,34,643439,1748311,859.55,855.3,863.0,0,0,856.7,856.7,2.95,0.3443,1720788831.145915
859.65,6847317,1720769030,1720769031,2,251,859.6,859.65,34,649017,1748045,859.55,855.3,863.0,0,0,856.7,856.7,2.95,0.3443,1720788831.558306
859.6,6847317,1720769030,1720769032,2,251,859.6,859.65,2,649017,1748045,859.55,855.3,863.0,0,0,856.7,856.7,2.9,0.3385,1720788832.225735
859.65,6847388,1720769032,1720769032,2,182,859.6,859.65,69,649021,1740253,859.55,855.3,863.0,0,0,856.7,856.7,2.95,0.3443,1720788832.549487
859.6,6847388,1720769032,1720769033,2,182,859.6,859.65,1,649021,1740253,859.55,855.3,863.0,0,0,856.7,856.7,2.9,0.3385,1720788833.147929
859.65,6847510,1720769033,1720769033,1,61,859.6,859.65,33,647718,1747882,859.55,855.3,863.0,0,0,856.7,856.7,2.95,0.3443,1720788833.549264
