bid_price1,bid_price2,bid_price3,bid_price4,bid_price5,bid_size1,bid_size2,bid_size3,bid_size4,bid_size5,bid_order1,bid_order2,bid_order3,bid_order4,bid_order5,ask_price1,ask_price2,ask_price3,ask_price4,ask_price5,ask_size1,ask_size2,ask_size3,ask_size4,ask_size5,ask_order1,ask_order2,ask_order3,ask_order4,ask_order5,time
859.5,859.45,859.4,859.35,859.3,859.55,859.6,859.65,859.7,859.75,33,2,82,67,105,112,230,503,308,1036,2,1,3,3,2,1,1,2,3,8,1720789270.544546
859.5,859.45,859.4,859.35,859.3,859.55,859.6,859.65,859.7,859.75,7,2,82,67,105,86,230,503,308,1036,1,1,3,3,2,1,1,2,3,8,1720789271.573099
859.5,859.45,859.4,859.35,859.3,859.55,859.6,859.65,859.7,859.75,7,2,82,67,105,84,230,503,308,1036,1,1,3,3,2,1,1,2,3,8,1720789271.939799
859.4,859.35,859.3,859.25,859.2,859.6,859.65,859.7,859.75,859.8,79,67,112,441,2987,219,503,282,1046,1487,3,3,3,9,10,1,2,2,8,11,1720789273.134934
859.55,859.5,859.45,859.4,859.35,859.6,859.65,859.7,859.75,859.8,2,1,1,79,67,190,503,282,1046,1480,1,1,1,3,3,1,2,2,8,10,1720789274.339962
859.55,859.5,859.45,859.4,859.35,859.6,859.65,859.7,859.75,859.8,1,1,1,80,52,189,503,282,1046,1480,1,1,1,4,1,1,2,2,8,10,1720789275.341716
859.5,859.45,859.4,859.35,859.25,859.55,859.6,859.65,859.7,859.75,1,1,80,59,364,71,38,556,520,1048,1,1,4,2,7,1,1,3,5,8,1720789276.340248
859.55,859.4,859.35,859.3,859.25,859.6,859.65,859.7,859.75,859.8,7,127,52,54,425,12,503,517,1139,1466,1,5,1,1,8,1,2,7,10,9,1720789277.343042
859.35,859.3,859.25,859.2,859.15,859.65,859.7,859.75,859.8,859.85,62,111,438,2994,631,371,316,1085,817,1973,2,3,9,10,9,2,3,10,10,15,1720789278.552613
859.35,859.3,859.25,859.2,859.15,859.6,859.65,859.7,859.75,859.8,62,111,438,2878,631,1,370,316,1085,817,2,3,9,9,9,1,2,3,10,10,1720789280.35487
859.35,859.3,859.25,859.2,859.15,859.6,859.65,859.7,859.75,859.8,52,57,438,2987,598,2,370,429,1111,817,1,2,9,10,9,2,2,6,11,10,1720789281.347361
859.5,859.35,859.3,859.25,859.2,859.6,859.65,859.7,859.75,859.8,3,70,50,425,2878,224,370,388,1087,1038,1,3,1,8,9,1,2,5,10,11,1720789282.348125
859.35,859.3,859.25,859.2,859.15,859.65,859.7,859.75,859.8,859.85,86,204,455,2878,655,370,425,1111,817,2703,1,4,10,9,10,2,6,11,10,14,1720789283.539198
859.45,859.3,859.25,859.2,859.15,859.6,859.65,859.7,859.75,859.8,3,49,302,2473,538,449,553,675,1561,1601,1,1,5,7,8,5,6,10,11,11,1720789284.348188
